city_county,location_name,address,phone,hours_of_operation,latitude_longitude
Eufaula/McIntosh County,Eufaula Memorial Library,301 S. 1st St.,918-689-2291,"M-TH: 8:30 a.m - 7 p.m., F: 8:30 a.m. - 5 p.m., SAT: 8:30 a.m. - 12 p.m.","35.2841665, -95.5835946"
Fort Gibson/Muskogee County,Q.B. Boydstun Public Library,201 E. South Ave.,918-478-3587,"M-F: 9 a.m. - 6 p.m., SAT: 9 a.m. - 1 p.m.","35.7925724, -95.2463665"
Fort Smith AR/Sebastian County,Salvation Army,301 N. 6th St,479-783-2340,SUN-SAT: 9 a.m. - 4 p.m.; Heat index must exceed 105 and not dip below 75 at night,"35.3899825, -94.4230692"
Fort Smith AR/Sebastian County,Hope Campus,301 S. E St.,479-668-4764,7 Days/Week: 8 a.m. - 8 p.m; open when temp exceeds 95,"35.3843722, -94.42096459999999"
Fort Smith AR/Sebastian County,Next Step,123 N. 6th St. (STE 200),479-782-5433,M-F: 8 a.m. - 3 p.m.,"35.38884669999999, -94.4239884"
Guthrie/Logan County,Guthrie YMCA,114 E. Oklahoma Ave.,405-282-8206,"M-TH: 5 a.m. - 8:30 p.m., F: 5:30 a.m. - 7 p.m., SAT: 8:30 a.m. - 3 p.m., SUN: 2 p.m. - 4 p.m.","35.87834369999999, -97.4246581"
Harrah/Oklahoma County,Harrah Public Library,1930 Church Ave.,405-454-2001,"MWF: 9 a.m. - 6 p.m., T: 9 a.m. - 8 p.m., SAT: 9 a.m. - 5 p.m.","35.4878878, -97.1615853"
Healdton/Carter County,Healdton Community Library,554 S. 4th St.,580-229-0654,"M-TH: 11:30 a.m. - 5:30 p.m., F: 11:30 a.m. - 2:30 p.m., SAT: 10 a.m. - 1 p.m.","34.2280319, -97.48763269999999"
Holdenville/Hughes County,Grace M. Pickens Public Library,209 E. 9th St.,405-379-3245,"M-F: 8 a.m. - 5:30 p.m., SAT: 10 a.m. - 1 p.m.","35.0834453, -96.3977122"
Jones/Oklahoma County,Jones Public Library,9295 Willa Way,405-399-5471,"MWF: 9 a.m. - 6 p.m., T: 9 a.m. - 8 p.m., SAT: 9 a.m. - 5 p.m.","35.5654887, -97.3026879"
Madill/Marshall County,Madill City Library,500 W. Overton St.,580-795-2749,"M-F: 9:30 a.m. - 6:30 p.m., SAT: 9 a.m. - 1:30 p.m.","34.0925899, -96.77522809999999"
Maysville Public Library,506 Williams St.,405-867-4748,M-TH: 8 a.m. - 5:30 p.m.,,"34.2540917, -83.56304569999999"
Muskogee/Muskogee County,Gospel Rescue Mission,323 Callahan St.,918-682-3489,7 Days/Week: 8:30 a.m. - 5:00 p.m.,"35.7477983, -95.36375629999999"
Muskogee/Muskogee County,Lake Area United Way,230 W. Broadway St. (STE 200),918-682-1364,M-F: 8 a.m. - 5 p.m. (Referral agency only),"35.7495421, -95.37048270000001"
Muskogee/Muskogee County,Arrowhead Mall,501 N. Main St.,918-683-4100,"M-F: 10 a.m. - 7 p.m., SUN: 12 p.m. - 6 p.m.","35.751736, -95.36742180000002"
Nicoma Park/Oklahoma County,Nicoma Park Library,2240 Overholser Dr.,405-769-9452,"T-TH: 9:30 a.m - 5:30 p.m., F: 9 a.m. - 6 p.m., SAT: 9 a.m. - 5 p.m.","35.4918101, -97.3248634"
Norman/Cleveland County,Food and Shelter,201 Reed Ave.,405-360-4954,7 Days/Week: 8 a.m. - 4 p.m.,"35.2239004, -97.4284919"
Oklahoma City/Oklahoma County,Ronald J. Norick Downtown Library,300 Park Ave.,405-231-8650,"M-TH: 9 a.m. - 9 p.m., F: 9 a.m. - 6 p.m., SAT: 9 a.m. - 5 p.m., SUN: 1 p.m. - 6 p.m.","35.468462, -97.518675"
Oklahoma City/Oklahoma County,Edward L. Gaylord Downtown YMCA,1 NW 4th St.,405-297-7700,"M-F: 5 a.m. - 9 p.m., SAT: 7 a.m. - 5 p.m., SUN: 1 p.m. - 5 p.m.","35.4722993, -97.5127741"
Oklahoma City/Oklahoma County,YMCA Health Living Center,5520 N. Independence Ave.,405-297-7717,"M-F: 5:30 a.m. - 9 p.m., SAT: 7 a.m. - 5:30 p.m., SUN: 1 p.m. - 5:30 p.m.","35.5269334, -97.5743992"
Oklahoma City/Oklahoma County,Wright Library,2101 Exchange Ave.,405-235-5035,"T-TH: 9:30 a.m. - 5:30 p.m., F-SAT: 9 a.m. - 5 p.m.","35.4530912, -97.5518172"
Oklahoma City/Oklahoma County,Crossings Community Center and Clinic,10255 N. Pennsylvania Ave.,405-749-0800,M-F: 9 a.m. - 5 p.m.,"35.5744847, -97.5502932"
Oklahoma City/Oklahoma County,Belle Isle Library,5500 N. Villa Ave.,405-606-3580,"M-TH: 9 a.m. - 9 p.m., F: 9 a.m. - 6 p.m., SAT: 9 a.m - 5 p.m., SUN: 1 p.m. - 6 p.m.","35.52536449999999, -97.5565149"
Oklahoma City/Oklahoma County,Northwest OKC Library,5600 NW 122nd St.,405-606-3580,"M-TH: 9 a.m. - 9 p.m., F: 9 a.m. - 6 p.m., SAT: 9 a.m. - 5 p.m., SUN: 1 p.m. - 6 p.m.","35.5940833, -97.6180072"
Oklahoma City/Oklahoma County,Homeless Alliance Day Shelter,1724 NW 4th St.,405-415-8410,M-F: 8 a.m. - 5 p.m.,"35.47163620000001, -97.5448151"
Oklahoma City/Oklahoma County,Capitol Hill Library,327 SW 27th St.,405-634-6308,"M-TH: 9 a.m. - 9 p.m., F: 9 a.m. - 6 p.m., SAT: 9 a.m. - 5 p.m., SUN: 1 p.m. - 6 p.m.","35.4382294, -97.5196649"
Oklahoma City/Oklahoma County,Red Shield Dining Room,1001 N. Pennsylvania Ave.,405-246-1082,7 Days/Week: 11 a.m. - 3 p.m.,"35.4776588, -97.5488621"
Oklahoma City/Oklahoma County,Warr Acres Library,5901 NW 63rd St.,405-606 -3521,"M-TH: 9 a.m. - 9 p.m., F: 9 a.m. - 6 p.m., SAT: 9 a.m. - 5 p.m., SUN: 1 p.m. - 6 p.m.","35.5372606, -97.62160879999999"
Oklahoma City/Oklahoma County,Rockwell Plaza YMCA,8300 Glade Ave.,405-621 -5858,"M-TH: 5 a.m. - 9 p.m., F: 5 a.m. - 8 p.m., SAT: 7 a.m. - 5 p.m., SUN: 1 p.m. - 5 p.m.","35.5545776, -97.6427667"
Oklahoma City/Oklahoma County,Southern Oaks Library,6900 S. Walker Ave.,405-631 -4468,"M-TH: 9 a.m. - 9 p.m., F: 9 a.m. - 6 p.m., SAT: 9 a.m. - 5 p.m., SUN: 12 p.m. - 6 p.m.","35.3972702, -97.52074759999999"
Oklahoma City/Oklahoma County,Day Living Center South,1681 SW 86th St.,405-688-5388,M-F: 7 a.m. - 5:30 p.m.,"35.3805619, -97.5468863"
Oklahoma City/Oklahoma County,Earlywine Park YMCA,11801 S. May Ave.,405-378-0402,"M-TH: 5 a.m. - 10 p.m., F: 5 a.m. - 7 p.m., SAT: 7 a.m. - 4 p.m., SUN: 1 p.m. - 5 p.m.","35.34976280000001, -97.5660735"
Oklahoma City/Oklahoma County,Ralph Ellison Library,2000 NE 23rd St.,405-424-1437,"M-TH: 9 a.m. - 9 p.m., F: 9 a.m. - 6 p.m., SAT: 9 a.m. - 5 p.m., SUN: 1 p.m. - 6 p.m.","35.4926779, -97.47608919999999"
Oklahoma City/Oklahoma County,Almonte Library,2727 SW 59th,405-606-3575,"M-TH: 9 a.m. - 9 p.m, F: 9 a.m - 6 p.m., SAT: 9 a.m - 5 p.m., SUN: 1 p.m. - 6 p.m.","35.4066774, -97.5637417"
Ozark AR/Franklin County,Gardner Memorial Family Life Center,104 S. 5th St.,479-667-3659,M-F: 9 a.m. - 7 p.m.,"35.4865393, -93.8286466"
Pauls Valley/Garvin County,Nora Sparks Warren Library,210 N. Willow St.,405-238-5188,M-TH: 9 a.m. - 6 p.m.,"34.741125, -97.2215859"
Poteau/LeFlore County,Don W. Reynolds Community Services Center,105 Reynolds Ave.,918-647-4204,M-F: 8 a.m. - 5 p.m.,"35.05155269999999, -94.62522270000001"
Sapulpa/Creek County,Sapulpa Community Resource Center,620 S. Linden St.,918-224-3266,M-F: 8:30 a.m. - 5 p.m. (Referral agency only),"35.9913803, -96.1024255"
Sapulpa/Creek County,Sapulpa Public Library,27 W. Dewey Ave.,918-224-5624,"M-TH: 9 a.m. - 6:45 p.m., F: 9 a.m. - 4:45 p.m., SAT: 10 a.m. - 1:45 p.m.","35.9988354, -96.1152323"
Seminole/Seminole Country,Seminole Public Library,424 N. Main St.,405-382-4221,"M-TH: 7:30 a.m. - 6 p.m., F: 7:30 a.m. - 5 p.m., SAT: 8:30 a.m. - 12:30 p.m.","35.2245201, -96.67057299999999"
Shawnee/Pott. County,The Homeless Resource Center (HRC),506 S. Beard St.,405-287-1777,"M-TH: 12 p.m. - 5 p.m., SAT: 10 a.m. - 5 p.m. (As volunteer staffing increases, additional hours may be added)","35.3224354, -96.9252322"
Sulphur/Murray County,Parker Memorial Library,500 West Broadway,580-634-2315,"M-TH: 11:30 a.m. - 5:30 p.m., F: 11:30 a.m. - 2:30 p.m., SAT: 10 a.m. - 1 p.m.","34.5078669, -96.9683498"
The Village/Oklahoma County,The Village Library,10307 N. Penn Ave.,405-755-0710,"M-TH: 9 a.m. - 9 p.m., F: 9 a.m. - 6 p.m., SAT: 9 a.m. - 5 p.m., SUN: 1 p.m. - 6 p.m.","35.5754657, -97.549782"
Tishomingo/Johnston County,Johnston County Library,116 W. Main St.,580-371-3006,"M-TH: 11:30 a.m. - 5:30 p.m., F: 11:30 a.m. - 2:30 p.m., SAT: 10 a.m. - 1 p.m.","34.2349461, -96.67837659999999"
Tulsa/Tulsa County,Expo Square,4145 E. 21st St.,405-744-1113,7 Days/Week: 10 a.m. - 8 p.m.,"36.1364899, -95.9307079"
Tulsa/Tulsa County,The Salvation Army Center of Hope,102 N. Denver Ave.,918-582-7201,"7 Days/Week, 24 Hours/Day, 365 Days/Year (Capacity limits)","36.1564393, -95.9976136"
Tulsa/Tulsa County,John 3:16 Mission,506 N. Cheyenne Ave.,918-587-1186,"7 Days/Week, 24 Hours/Day, 365 Days/Year","36.1603572, -95.9979245"
Tulsa/Tulsa County,Tulsa County Emergency Shelter,2401 Charles Page Boulevard,918-896-5591,"7 Days/Week, 24 Hours/Day, 365 Days/Year","36.1524047, -96.01945860000001"
Warner/Muskogee County,Warner Volunteer Fire Department,1000 Old Highway 64,918-463-2696,Only during an outage or emergency situation,"35.5429035, -95.3108543"
Wilson/Carter County,Wilson Public Library,1087 US HWY 70A,580-668-2486,M: 1 p.m. - 6 p.m.,"34.1618589, -97.42518609999999"
