city_county,location_name,address,phone,hours_of_operation,latitude_longitude
Franklinville/Cattaraugus County,Blount Library,"5 N Main St, Franklinville, NY 14737",716-676-5715,Mon – Wed: 9:00 AM – 4:00 PM; Thurs: 9:00 AM – 6:00 PM; Fri: 9:00 AM – 4:00 PM; Sat: 9:00 AM – 12:00 PM,"42.338157, -78.45722099999999"
Cattaraugus/Cattaraugus County,Cattaraugus Free Library,"21 N Main St, Cattaraugus, NY 14719",716-257-9500,"Mon, Wed, Fri: 11:00 AM – 4:00 PM; Tues, Thurs: 11:00 AM – 6:00 PM; Sat: 10:00 AM – 1:00 PM","42.329659, -78.86894699999999"
Delevan/Cattaraugus County,Delevan-Yorkshire Public Library,"28 School St, Delevan, NY 14042",716-492-1961,"Mon, Wed, Thurs: 1:00 PM – 8:00 PM; Tues: 9:00 AM – 8:00 PM; Fri: 1:00 PM – 6:00 PM; Sat: 9:00 AM – 1:00 PM","42.4918118, -78.4792641"
Ellicottville/Cattaraugus County,Ellicottville Memorial Library,"6499 Maples Rd, Ellicotville, NY 14731",716-699-2842,"Mon, Thurs, Fri, Sat: 10:00 AM – 5:00 PM; Tues – Wed: 10:00 AM – 8:00 PM","42.28271, -78.6747542"
Gowanda/Cattaraugus County,Gowanda Free Library,"56 W Main St, Gowanda, NY 14070",716-532-3451,"Mon, Tues, Thurs, Fri: 10:00 AM – 4:00 PM; Wed: 10:00 AM – 7:00 PM","42.4626124, -78.93683089999999"
Machias/Cattaraugus County,King Memorial Library,"9538 Rt. 16, Machias, NY 14101",716-353-9915,"Mon, Wed: 12:00 AM – 6:00 PM; Tues: 10:00 AM – 3:00 PM; Thurs: 10:00 AM – 6:00 PM; Fri: 9:00 AM – 2:00 PM","42.4139628, -78.4918369"
Little Valley/Cattaraugus County,Memorial Library of Little Valley,"110 Rock City St, Little Valley, NY 14755",716-938-6305,"Mon, Tues, Thurs: 9:00 AM – 7:00 PM; Fri: 9:00 AM – 5:00 PM; Sat: 10:00 AM – 1:00 PM","42.2490096, -78.7976791"
Olean/Cattaraugus County,Olean Public Library,"134 N. 2nd St, Olean, NY 14760",716-372-0200,Mon – Thurs: 9:00 AM – 9:00 PM; Fri: 9:00 AM – 6:00 PM; Sat: 10:00 AM – 5:00 PM;,"42.0791244, -78.43212120000001"
Portville/Cattaraugus County,Portville Free Library,"2 N. Main St, Portville, NY 14770",716-933-8441,Mon. Thurs: 1:00 PM – 8:00 PM; Tues: 10:00 AM – 5:00 PM; Fri: 9:00 AM – 5:00 PM; Sat: 10:00 AM – 1:00 PM,"42.0389393, -78.3404213"
Randolph/Cattaraugus County,Randolph Library,"26 Jamestown St, Randolph, NY 14772",716-358-3712,"Mon, Tues, Thurs: 12:00 AM – 8:00 PM; Wed: 4:00 PM – 8:00 PM; Fri: 10:00 PM – 5:00 PM; Sat: 10:00 AM – 3:00 PM","42.162897, -78.9770166"
Salamanca/Cattaraugus County,Salamanca Public Library,"155 Wildwood Ave, Salamanca, NY 14779",716-945-1890,"Tues, Wed, Thurs: 9:00 AM – 7:00 PM; Fri: 9:00 AM – 4:00 PM; Sat: 9:00 AM – 2:30 PM","42.1573025, -78.7094229"
Auburn/Cayuga County,Fingerlakes Mall,"1579 Clark Street Rd, Auburn, NY 13022",315-255-1164,Mon - Sat: 10:00 AM - 7:00 PM; Sun: 11:00 AM - 5:00 PM,"42.9303593, -76.6113642"
Brocton/Chautauqua County,Ahira Hall Memorial Library,"37 W Main St, Brocton, NY 14716",716-792-9418,Mon & Wed: 1:00 PM - 8:00 PM; Tues & Thu: 10:00 AM - 5:00 PM; Fri: 1:00 PM - 5:00 PM; Sat: 10:00 AM - 1:00 PM,"42.3884281, -79.44285219999999"
Sherman/Chautauqua County,Alexander Free Library,"2883 N Rd, Sherman, NY 14781",716-769-6568,"Mon: 9:00 AM - 2:00 PM; Tues, Thurs: 1:00 PM - 7:00 PM, Sat: 9:00 AM - 2:00 PM","42.1231652, -79.7318617"
Ashville/Chautauqua County,Ashville Free Library,"2200 N Maple Ave, Ashville, NY 14710",716-763-9906,Mon -Fri: 9:30 AM - 5:00 PM,"42.0955228, -79.37489389999999"
Dunkirk/Chautauqua County,"Chautauqua Opportunities, Inc","10825 Bennett Rd, Dunkirk, NY 14048",716-366-8176,Mon -Fri: 8:30 AM - 4:30 PM,"42.4695447, -79.3197136"
Jamestown/Chautauqua County,"Chautauqua Opportunities, Inc","402 Chandler St, Jamestown, NY 14701",716-661-9430,Mon -Fri: 8:30 AM - 4:30 PM,"42.0985656, -79.2281455"
Jamestown/Chautauqua County,Department of Mental Hygiene and Social Services,"110 East 4th St, Jamestown, NY 14701",716-661-8200,Mon -Fri: 8:30 AM - 4:30 PM,"42.0971263, -79.2397845"
Dunkirk/Chautauqua County,Department of Mental Hygiene and Social Services,"319 Central Ave, Dunkirk, NY 14048",716-679-9881,Mon -Fri: 8:30 AM - 4:30 PM,"42.4841069, -79.3351579"
Mayville/Chautauqua County,Department of Mental Hygiene and Social Services,"7 N. Erie St, Mayville, NY 14757",716-753-4421,Mon -Fri: 8:30 AM - 4:30 PM,"42.2560716, -79.50501109999999"
Ellington/Chautauqua County,Ellington-Farman Free Library,"760 Thornton Rd, Ellington, NY 14732",716-287-2945,Mon - Thurs: 11:00 AM - 7:00 PM; Sat: 10:00 AM - 1:00 PM,"42.2175677, -79.1093034"
Jamestown/Chautauqua County,Hazeltine Public Library,"891 Busti-Sugar Grove Rd, Jamestown, NY 14701",716-487-1281,"Mon, Wed, Fri: 1:00 PM - 5:00 PM & 6:30 PM - 8:30 PM; Tues & Thurs: 9:00 AM - 5:00 PM; Sat: 9:00 AM - 1:00 PM","42.037888, -79.28418099999999"
Jamestown/Chautauqua County,James Prendergast Library Assoc.,"509 Cherry St, Jamestown, NY 14701",716-484-7135,Mon - Thurs: 10:00 AM - 8:30 PM; Fri: 10:00 AM - 5:00 PM; Sat: 10:00 AM - 4:00 PM,"42.098191, -79.24387999999999"
Jamestown/Chautauqua County,Joy Fellowship Free Methodist Church,"515 E 7th Street, Jamestown, NY 14701",716-484-1542,"Mon, Wed, Fri: 10:00 AM - 2:00 PM","42.101408, -79.23457200000001"
Lakewood/Chautauqua County,Lakewood Memorial Library,"12 W Summit Street, Lakewood, NY 14750",716-763-6234,Mon: 10:00 AM - 6:00 PM; Tues: 10:00 AM - 8:00 PM; Wed: 10:00 AM - 6:00 PM; Thurs: 10:00 AM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 2:00 PM,"42.103551, -79.32747959999999"
Frewsburg/Chautauqua County,Myers Memorial Library,"6 Falconer Street, Frewsburg, NY 14738",716-569-5515,"Mon - Fri: 10:00 AM - 1:00 PM, 3:00 PM - 6:00 PM; Sat: 10:00 AM - 1:00 PM","42.05479320000001, -79.1577647"
Sinclairville/Chautauqua County,Sinclairville Free Library,"15 Main St, Sinclairville, NY 14782",716-962-5885,"Mon, Thurs: 2:00 PM - 7:00 PM; Wed: 9:00 AM - 5:00 PM; Fri: 10:00 AM - 4:00 PM; Sat: 10:00 AM - 1:00 PM","42.2644364, -79.2601349"
Hope/Hamilton County,American Red Cross - North Country,"Call for Cooling Center locations,, NY",518-561-7280,Call for operating hours,"43.2994285, -74.21793260000001"
West Chazy/Clinton County,Beekmantown Town Park and Pavilion,"571 Spellman Road, West Chazy, NY 12992","518-563-4650, ext. 1",Mon - Fri: 09:00 AM - 04:00 PM,"44.77507809999999, -73.4800984"
,Champlain Centre Mall,"60 Smithfield Blvd, Plattsburgh, NY 12901",518-561-8660,Call for operating hours,"44.7024118, -73.4909898"
Champlain/Clinton County,Champlain Memorial Library,"148 Elm Street, Champlain, NY 12919",518-298-8620,"Tues, Wed, Thurs: 11:30 AM - 05:30 PM; Sat: 10:00 AM - 01:00 PM","44.9860633, -73.4404744"
Chazy/Clinton County,Chazy Public Library,"1329 Fiske Road, Chazy, NY 12921",518-846-7676,"Tues, Thurs: 10:00 AM - 06:00 PM; Wed: 12:00 PM - 05:00 PM; Sat: 09:00 AM - 01:00 PM","44.8856942, -73.43619140000001"
Plattsburgh/Clinton County,Cumberland Bay State Park,"152 Cumberland Head Rd, Plattsburgh, NY 12901",518-563-5240,Mon - Sun: Dawn to Dusk; 11:00 AM - 07:00 PM (Swimming Area),"44.7236377, -73.4266999"
Saranac/Clinton County,Dannemora Free Library,"40 Emmons Street, Dannemora, NY 12929",518-492-7005,"Wed: 10:30 AM - 04:00 PM; Tues, Thurs: 02:30 PM - 08:30 PM; Fri: 04:00 PM - 08:30 PM; Sat: 10:00 AM - 01:00 PM","44.714068, -73.72045299999999"
Schuyler Falls/Clinton County,Macomb State Park,"201 Campsite Rd, Schuyler Falls, NY 12985",518-643-9952,Mon - Sun: Dawn to Dusk; 11:00 AM - 07:00 PM (Swimming Area),"44.6157416, -73.6078241"
Peru/Clinton County,Peru Free Library,"3024 Main Street, Peru, NY 12972",518-643-8618,Tues - Fri: 10:00 AM - 06:00 PM; Sat: 10:00 AM - 01:00 PM,"44.5816627, -73.5250617"
Plattsburgh/Clinton County,Plattsburgh City Beach,"4 Beach Road, Plattsburgh, NY 12901",518-563-7642,Starting 05/26: Mon - Sun: 10:00 AM - 06:00 PM,"44.720654, -73.43194799999999"
Plattsburgh/Clinton County,Plattsburgh Public Library,"19 Oak Street, Plattsburgh, NY 12901",518-563-0921,"Mon, Fri, Sat: 09:00 AM - 05:00 PM; Tues, Wed, Thurs: 09:00 AM - 07:30 PM","44.6972028, -73.4556357"
Plattsburgh/Clinton County,Point Au Roche State Park,"338 Point Au Roche Road, Plattsburgh, NY 12901",518-563-0369,Mon - Sun: Dawn to Dusk; 11:00 AM - 07:00 PM (Swimming Area),"44.7855126, -73.38050559999999"
Rouses Point/Clinton County,Rouses Point Dodge Memorial Library,"144 Lake Street, Rouses Point, NY 12979",518-297-6242,"Mon, Wed, Thurs, Fri: 10:00 AM - 05:00 PM; Tues: 10:00 AM - 06:00 PM; Sat: 10:00 AM - 01:00 PM","44.9903651, -73.3643259"
Saranac/Clinton County,Saranac Town Hall,"3662 State Route 3, Saranac, NY 12981","518-293-6666, ext. 2",Mon - Sun: 07:30 AM - 02:30 PM,"44.64171, -73.7496487"
West Chazy/Clinton County,West Chazy Dodge Library,"9 Fiske Road, West Chazy, NY 12921",518-493-6131,"Tues, Thurs: 09:00 AM - 06:00 PM; Sat: 09:00 AM - 12:00 PM","44.8208881, -73.5075592"
Claverack-Red Mills/Columbia County,Claverack Free Library,"629 Route 23B, Claverack, NY 12513",518-851-7120,Mon: 12:00 PM – 7:00 PM; Tues: 10:00 AM – 3:00 PM; Wed: 12:00 PM -7:00 PM; Thurs: 10:00 AM – 3:00 PM; Fri: 12:00 PM -5:00 PM; Sat: 10:00 AM -2:00 PM; Sun: Closed,"42.223011, -73.7354202"
Germantown/Columbia County,Germantown Library,"31 Palatine Park Road, Germantown, NY 12526",518-537-5800,Tues: 9:00 AM – 7:00 PM; Wed: 9:00 AM – 4:00 PM; Thurs: 12:00 PM – 7:00 PM; Fri: 9:00 AM – 4:00 PM; Sat: 10:00 AM – 2:00 PM; Sun - Mon: Closed,"42.137503, -73.887163"
Hudson/Columbia County,Hudson Area Library,"51 N. 5th Street, Hudson, NY 12534",518-828-1792,Mon - Tues: 10:00 AM – 5:00 PM; Wed: 10:00 AM – 8:00 PM; Thurs: 10:00 AM – 5:00 PM; Friday: 10:00 AM - 5:00 PM; Sat: 10:00 AM – 3:00 PM; Sun: Closed,"42.2512341, -73.78502019999999"
Kinderhook/Columbia County,Kinderhook Memorial Library,"18 Hudson Street, Kinderhook, NY 12106",518-758-6192,Mon: Closed; Tues - Thurs: 10:00 AM – 8:00 PM; Fri: 10:00 AM – 5:00 PM: Sat: 10:00 AM – 4:00 PM; Sun: 12:00 PM – 4:00 PM,"42.393977, -73.6972856"
New Lebanon/Columbia County,New Lebanon Library,"550 State Route 20, New Lebanon, NY 12125",518-794-8844,Mon - Wed: 10:00 AM – 6:00 PM; Thurs: 10:00 AM – 7:00 PM; Fri: 10:00 AM-6:00 PM; Sat: 10:00 AM -1:00 PM; Sun: Closed,"42.4642991, -73.39680400000002"
